Field,prize_pub_year,paper_count
Chemistry,1,3
Chemistry,2,7
Chemistry,3,12
Chemistry,4,6
Chemistry,5,11
Chemistry,6,7
Chemistry,7,3
Chemistry,8,6
Chemistry,9,15
Chemistry,10,3
Chemistry,11,15
Chemistry,12,8
Chemistry,13,10
Chemistry,14,15
Chemistry,15,11
Chemistry,16,8
Chemistry,17,6
Chemistry,18,7
Chemistry,19,1
Chemistry,20,5
Chemistry,21,8
Chemistry,22,4
Chemistry,23,5
Chemistry,24,3
Chemistry,25,5
Chemistry,26,4
Chemistry,27,1
Chemistry,29,3
Chemistry,30,2
Chemistry,31,4
Chemistry,32,4
Chemistry,33,8
Chemistry,34,5
Chemistry,35,2
Chemistry,36,3
Chemistry,37,3
Chemistry,38,3
Chemistry,40,1
Chemistry,41,2
Chemistry,42,4
Chemistry,43,1
Chemistry,46,1
Medicine,1,7
Medicine,2,3
Medicine,3,8
Medicine,4,14
Medicine,5,10
Medicine,6,5
Medicine,7,9
Medicine,8,16
Medicine,9,16
Medicine,10,6
Medicine,11,15
Medicine,12,10
Medicine,13,11
Medicine,14,12
Medicine,15,11
Medicine,16,12
Medicine,17,10
Medicine,18,10
Medicine,19,12
Medicine,20,8
Medicine,21,11
Medicine,22,4
Medicine,23,9
Medicine,24,5
Medicine,25,5
Medicine,26,5
Medicine,27,2
Medicine,28,5
Medicine,29,2
Medicine,30,4
Medicine,31,2
Medicine,32,4
Medicine,33,2
Medicine,34,6
Medicine,36,6
Medicine,37,1
Medicine,38,3
Medicine,41,1
Medicine,42,3
Medicine,43,2
Medicine,46,1
Medicine,50,2
Medicine,55,1
Medicine,56,1
Physics,1,6
Physics,2,7
Physics,3,8
Physics,4,9
Physics,5,8
Physics,6,12
Physics,7,8
Physics,8,8
Physics,9,11
Physics,10,4
Physics,11,9
Physics,12,5
Physics,13,8
Physics,14,4
Physics,15,6
Physics,16,16
Physics,17,9
Physics,18,5
Physics,19,6
Physics,20,5
Physics,21,12
Physics,22,7
Physics,23,2
Physics,24,6
Physics,25,3
Physics,26,2
Physics,27,3
Physics,28,7
Physics,29,3
Physics,31,6
Physics,32,6
Physics,33,2
Physics,34,1
Physics,35,2
Physics,36,2
Physics,38,1
Physics,39,2
Physics,40,2
Physics,42,3
Physics,43,3
Physics,45,1
Physics,46,1
Physics,47,1
Physics,48,2
Physics,49,3
Physics,52,1
Physics,53,1
Physics,54,1
